timestamp,price,volume
2023-01-02 09:15:00,17502.27,147
2023-01-02 09:21:15,17490.97,418
2023-01-02 09:27:30,17489.77,334
2023-01-02 09:33:45,17499.65,403
2023-01-02 09:40:00,17500.65,414
2023-01-02 09:46:15,17502.11,455
2023-01-02 09:52:30,17488.65,200
2023-01-02 09:58:45,17481.63,404
2023-01-02 10:05:00,17475.3,389
2023-01-02 10:11:15,17479.61,292
2023-01-02 10:17:30,17483.04,226
2023-01-02 10:23:45,17482.44,431
2023-01-02 10:30:00,17485.77,230
2023-01-02 10:36:15,17493.9,188
2023-01-02 10:42:30,17489.56,168
2023-01-02 10:48:45,17479.37,148
2023-01-02 10:55:00,17475.31,430
2023-01-02 11:01:15,17478.19,440
2023-01-02 11:07:30,17485.92,148
2023-01-02 11:13:45,17478.74,297
2023-01-02 11:20:00,17473.46,351
2023-01-02 11:26:15,17490.2,318
2023-01-02 11:32:30,17495.0,101
2023-01-02 11:38:45,17507.22,201
2023-01-02 11:45:00,17500.38,141
2023-01-02 11:51:15,17495.9,412
2023-01-02 11:57:30,17498.72,190
2023-01-02 12:03:45,17486.15,77
2023-01-02 12:10:00,17489.58,407
2023-01-02 12:16:15,17505.31,376
2023-01-02 12:22:30,17518.67,301
2023-01-02 12:28:45,17507.89,56
2023-01-02 12:35:00,17511.97,290
2023-01-02 12:41:15,17513.05,224
2023-01-02 12:47:30,17504.85,76
2023-01-02 12:53:45,17498.8,491
2023-01-02 13:00:00,17499.85,470
2023-01-02 13:06:15,17487.91,301
2023-01-02 13:12:30,17476.25,372
2023-01-02 13:18:45,17483.86,127
2023-01-02 13:25:00,17474.57,338
2023-01-02 13:31:15,17490.44,93
2023-01-02 13:37:30,17507.74,110
2023-01-02 13:43:45,17511.32,263
2023-01-02 13:50:00,17516.42,454
2023-01-02 13:56:15,17521.91,447
2023-01-02 14:02:30,17524.37,280
2023-01-02 14:08:45,17539.01,202
2023-01-02 14:15:00,17552.13,269
2023-01-02 14:21:15,17547.74,367
2023-01-02 14:27:30,17535.6,428
2023-01-02 14:33:45,17524.7,440
2023-01-02 14:40:00,17517.23,158
2023-01-02 14:46:15,17511.56,91
2023-01-02 14:52:30,17502.5,138
2023-01-02 14:58:45,17505.89,130
2023-01-02 15:05:00,17491.97,280
2023-01-02 15:11:15,17499.68,290
2023-01-02 15:17:30,17494.85,168
2023-01-02 15:23:45,17489.93,194
