timestamp,open,high,low,close,volume
2023-01-02,17519.52,17559.77,17304.98,17335.07,203736
2023-01-03,17359.57,17537.0,17311.6,17517.44,165622
2023-01-04,17460.5,17536.72,17375.49,17436.0,369949
2023-01-05,17397.0,17596.99,17386.42,17497.95,233707
2023-01-06,17525.69,17552.79,17363.76,17459.91,326472
2023-01-09,17404.35,17487.37,17363.39,17437.88,288685
2023-01-10,17480.73,17625.17,17383.15,17556.18,348461
2023-01-11,17497.02,17578.15,17407.33,17499.0,339600
2023-01-12,17509.83,17622.62,17479.32,17607.58,301722
2023-01-13,17675.93,17883.2,17631.72,17777.89,387717
2023-01-16,17797.19,17847.91,17720.43,17749.29,289973
2023-01-17,17777.95,17868.69,17710.8,17850.84,278351
2023-01-18,17802.77,17946.97,17735.17,17828.12,265141
2023-01-19,17854.45,18090.81,17823.84,17995.45,166829
2023-01-20,18039.37,18056.65,17889.36,17981.54,314981
2023-01-23,17940.2,18115.51,17872.34,18008.19,224905
2023-01-24,17974.32,18046.07,17896.61,17930.26,374622
2023-01-25,17987.32,18021.45,17815.89,17915.67,417138
2023-01-26,17914.74,18152.66,17890.98,18047.94,233876
2023-01-27,18090.11,18107.1,17998.35,18042.7,395392
2023-01-30,18046.9,18369.94,18035.87,18265.25,210058
2023-01-31,18291.8,18347.53,18224.11,18308.18,208485
2023-02-01,18277.93,18288.29,18116.71,18191.7,288091
2023-02-02,18260.38,18394.43,18240.8,18328.59,306471
2023-02-03,18378.69,18410.57,18315.66,18359.31,234698
2023-02-06,18365.09,18572.84,18355.04,18504.5,319951
2023-02-07,18502.81,18552.74,18268.39,18367.07,311225
2023-02-08,18328.79,18401.2,18268.06,18285.15,404798
2023-02-09,18331.38,18582.2,18310.06,18513.6,399184
2023-02-10,18579.78,18647.82,18334.19,18398.78,261043
2023-02-13,18461.91,18620.29,18387.74,18534.4,359186
2023-02-14,18607.82,18684.28,18551.24,18626.09,213441
2023-02-15,18588.53,18600.84,18407.41,18467.26,265457
2023-02-16,18394.45,18599.72,18378.38,18583.24,166469
2023-02-17,18636.71,18672.89,18357.48,18427.69,262321
2023-02-20,18433.47,18657.06,18371.61,18550.0,277400
2023-02-21,18592.24,18739.97,18573.52,18709.02,375994
2023-02-22,18687.21,18803.85,18672.33,18698.83,201599
2023-02-23,18633.1,18923.1,18613.27,18825.03,250448
2023-02-24,18778.38,18887.43,18743.31,18831.02,280970
2023-02-27,18887.44,18986.32,18588.32,18675.36,201332
2023-02-28,18608.22,19019.79,18511.01,18917.83,273930
2023-03-01,18867.33,18973.47,18821.24,18939.96,180741
2023-03-02,18889.15,18942.1,18658.11,18751.5,388555
2023-03-03,18719.28,18954.77,18638.78,18864.41,405155
2023-03-06,18812.31,18928.87,18742.37,18804.5,181959
2023-03-07,18841.8,18916.06,18585.92,18641.18,232540
2023-03-08,18575.1,18776.15,18558.93,18672.5,185631
2023-03-09,18698.67,18721.86,18496.66,18586.79,279087
2023-03-10,18598.52,18617.54,18348.75,18417.91,315868
2023-03-13,18481.96,18570.74,18288.78,18320.26,357505
2023-03-14,18266.16,18469.34,18172.55,18409.05,188033
2023-03-15,18336.79,18559.89,18317.79,18487.96,261754
2023-03-16,18488.83,18537.22,18343.21,18359.4,278075
2023-03-17,18340.24,18441.95,18169.1,18242.42,154101
2023-03-20,18266.92,18405.18,18247.6,18292.69,220407
2023-03-21,18258.22,18575.76,18234.23,18484.09,297721
2023-03-22,18499.59,18636.73,18432.51,18604.33,288403
2023-03-23,18605.14,18715.04,18511.17,18525.74,372075
2023-03-24,18574.55,18621.24,18337.5,18359.27,287340
2023-03-27,18309.57,18449.87,18249.09,18362.25,208654
2023-03-28,18299.85,18661.02,18240.75,18551.59,343575
2023-03-29,18563.84,18587.86,18391.52,18429.26,170916
2023-03-30,18488.08,18525.53,18314.76,18334.01,363058
2023-03-31,18403.51,18578.54,18372.2,18466.71,235197
2023-04-03,18537.06,18733.37,18524.83,18626.41,324160
2023-04-04,18668.49,18752.18,18540.37,18616.53,280111
2023-04-05,18581.8,18789.39,18493.3,18767.5,396777
2023-04-06,18725.83,18992.94,18688.36,18932.31,269325
2023-04-07,18890.34,19084.22,18855.27,19030.39,186396
2023-04-10,19101.47,19182.03,18916.29,18962.26,323617
2023-04-11,19028.89,19145.63,18796.87,18822.94,289180
2023-04-12,18753.41,18941.01,18672.63,18892.98,378796
2023-04-13,18909.03,18978.65,18847.14,18926.28,283547
2023-04-14,18857.3,18994.02,18774.71,18926.83,253303
2023-04-17,18906.27,18989.34,18728.3,18768.02,314582
2023-04-18,18792.55,18901.56,18578.5,18634.14,364115
2023-04-19,18608.23,18817.6,18580.96,18746.61,348781
2023-04-20,18773.2,19026.12,18736.11,18948.41,150212
2023-04-21,18918.68,19015.11,18785.93,18850.53,318951
2023-04-24,18845.25,18887.24,18792.66,18853.73,238967
2023-04-25,18877.69,18960.71,18722.52,18788.25,198961
2023-04-26,18836.11,19008.97,18805.89,18924.96,254401
2023-04-27,18871.57,18989.8,18690.82,18755.83,188182
2023-04-28,18749.14,19023.86,18674.49,18950.54,351315
2023-05-01,18949.69,19031.86,18856.88,18867.38,205882
2023-05-02,18909.4,19007.85,18701.04,18773.67,393557
2023-05-03,18706.12,18809.44,18642.46,18693.54,393606
2023-05-04,18718.6,19006.85,18623.1,18931.35,382035
2023-05-05,18948.41,19120.75,18863.66,19055.22,383787
2023-05-08,19115.77,19252.8,19082.44,19190.59,279624
2023-05-09,19242.77,19338.31,19067.47,19121.08,275433
2023-05-10,19086.6,19128.03,18929.5,18963.95,317619
2023-05-11,19023.58,19050.17,18764.99,18809.46,230113
2023-05-12,18840.52,18895.36,18590.31,18649.15,367985
2023-05-15,18583.84,18872.75,18504.56,18819.91,160240
2023-05-16,18873.62,19014.94,18863.09,18963.1,334422
2023-05-17,18932.55,19051.64,18847.33,18943.56,265625
2023-05-18,18941.78,19005.2,18828.04,18873.04,361978
2023-05-19,18906.89,19160.31,18808.63,19049.16,164138
2023-05-22,19111.17,19200.92,19093.61,19117.99,374716
2023-05-23,19062.27,19145.36,19018.15,19129.83,260970
2023-05-24,19122.9,19229.66,19051.99,19087.03,371021
2023-05-25,19049.2,19061.33,18873.57,18932.12,333480
2023-05-26,18890.35,19005.65,18759.06,18772.68,166268
2023-05-29,18840.2,18852.44,18647.32,18671.03,216176
2023-05-30,18667.08,18781.33,18481.59,18533.44,284345
2023-05-31,18573.01,18649.81,18342.32,18419.63,210048
2023-06-01,18460.56,18504.77,18242.73,18304.81,313555
2023-06-02,18315.91,18555.33,18221.18,18504.05,253981
2023-06-05,18441.28,18691.93,18422.11,18612.93,308116
2023-06-06,18665.09,18707.16,18566.54,18683.84,171532
2023-06-07,18661.0,18731.85,18605.46,18681.09,328903
2023-06-08,18608.26,18738.68,18559.24,18674.76,339890
2023-06-09,18695.02,18931.76,18645.83,18843.96,291600
2023-06-12,18861.43,19149.3,18809.59,19054.09,290716
2023-06-13,19027.0,19139.81,18936.04,18971.14,386350
2023-06-14,18932.27,19061.34,18888.16,18984.2,165047
2023-06-15,18983.34,19046.97,18894.34,18936.27,285451
2023-06-16,18912.08,19217.45,18877.22,19130.32,155322
